transactionNum,SSN,accountType,accountNum,amount,memo,date,checkNum
514398729777,042-34-5324,Checking - Gold/Diamond,204211113,-600.0,Withdrawal,05/02/2022,0
290106790939,042-34-5324,Savings - Simple,204211113,-1000.0,Withdrawal,05/02/2022,0
882073597006,042-34-5324,Checking - Gold/Diamond,204211113,1000.0,Deposit,05/02/2022,0
701876380611,042-34-5324,Checking - Gold/Diamond,204211113,100.0,Deposit,05/02/2022,001
663962814388,042-34-5324,Savings - Simple,204211113,-100.0,Withdrawal,05/02/2022,0
355392711103,042-34-5324,Checking - Gold/Diamond,204211113,-200000.0,Withdrawal,05/02/2022,0
935099371510,042-34-5324,Checking - TMB,204211113,-100.0,Withdrawal,05/02/2022,0
377166821913,042-34-5324,Checking - Gold/Diamond,204211113,-100.0,Withdrawal,05/02/2022,0
147410509015,042-34-5324,Checking - Gold/Diamond,204211113,-40.0,Withdrawal,05/02/2022,0
807560486378,042-34-5324,Checking - Gold/Diamond,204211113,-760.0,Withdrawal,05/02/2022,0
331463045750,042-34-5324,Checking - Gold/Diamond,204211113,-3500.0,Withdrawal,05/02/2022,0
399641138266,042-34-5324,Checking - Gold/Diamond,204211113,-3500.0,Withdrawal,05/02/2022,0
777932201405,042-34-5324,Checking - TMB,204211113,-100.0,Withdrawal,05/02/2022,0
389737759531,042-34-5324,Checking - TMB,204211113,-399.0,Withdrawal,05/02/2022,0
